
"Poitrine de poulet",100g,127,26,0,1.2
"Cuisse de poulet",100g,120,20.1,0,3.8
"Poitrine de dinde",100g,132,29,0,1.4
"Dinde hachée maigre",100g,121,19,0,5
"Cheval",100g,133,21,0,5
"Porc",100g,242,27,0,14
"Bavette de bœuf",100g,192,28,0,8
"Bœuf extra maigre",100g,180,21,0,10
"Morue",100g,99,22.8,0,0.9
"Thon (Clover Leaf)",100g,100,25,0,0.8
"Saumon",100g,196,22,0,12
"Crevettes",100g,106,20.3,0.9,1.7
"Crabe",100g,87,18.1,0,1.1
"Jerky",100g,243,46.6,6.6,3.3
"Blanc d'œuf",100g,48,11,1,0
"Œuf",60g,90,6.3,0.4,6
"Tofu",100g,102,10,2,6
"Tempeh",100g,201.6,19,9,10
"Seitan",100g,113,22,4,1
"Yogourt grec 0%",100g,57,10.3,3.4,0
"Fromage cottage 1%",100g,72,12,3,1
"Fromage Allegro 9%",100g,233,33.3,3.3,8.3
"Whey ATP",30g,120,24,5,2
"Iso Believe",30g,110,27,1,0
"Supreme Beef Protein",30g,120,24,3,1
"Vegan Protein - Believe",30g,115,23,2,1
"EAA / BCAA",10g,0,0,0,0


"Gruau (cru)",40g,150,5,27,3
"Riz blanc basmati",150g cuit,200,5,45,0.5
"Quinoa",150g cuit,180,6,35,3
"Patate douce",150g,135,3,31,0
"Patate blanche",150g,105,2.5,23.5,0.2
"Couscous",150g cuit,176,6,36,0.3
"Courge spaghetti",200g,62,1.2,14,0.6
"Courge Butternut",150g,68,1.5,18,0.1
"Pois chiches",150g,246,13,30,4
"Lentilles",150g,190,15,24,1
"Granola Nature Path's",40g,182,4,28,7
"Nouilles de Konjac",200g,34,1,6.6,0.4
"Wrap blé entier",1 wrap (50g),120,5,22,2
"Pain Carbonaut",1 tranche (45g),80,8,14,4
"Pâtes sans gluten (crues)",80g sec,290,6,62,2
"Galette de riz",1 galette (9g),35,0.7,7.3,0.3
"Crispy Minis",20g,95,1.3,15,3
"Bagel sans gluten",1 bagel (90g),250,8,50,3
"Muffin anglais sans gluten",1 muffin (60g),150,4,28,2
"Pain sans gluten",1 tranche (40g),120,3,22,2
"Rice crispy",30g,130,2,26,1
"Chex",30g,120,2,23,1
"Gaufre sans gluten",1 (60g),160,4,28,5
"Crème de riz",40g,150,4,34,0
"Jus de fruits",250mL,120,1,28,0
"Navet",100g,28,0.9,6.5,0
"Carotte",100g,41,1,9.8,0
"Betterave",100g,43,1.4,7.1,0.4
"Pomme",140g,80,0.4,21,0.2
"Banane",120g,105,1.3,27,0.3
"Raisin",100g,70,0.6,18,0.3
"Kiwi",69g,42,0.8,10,0.3
"Mangue",200g,120,2,30,0.4
"Orange",130g,60,1,15,0.2
"Ananas",200g,100,1,26,0.2
"Dattes",30g,85,1,22,0
"Purée de pommes sans sucre",125g,60,0.3,15,0
"Petits fruits",100g,50,1,12,0.3
"Believe Fuel (carbs)",30g,110,0,28,0

"Amandes",28g,160,6,6,14
"Noix de macadamia",28g,200,2,4,21
"Noix du Brésil",28g,190,4,3,19
"Noix de Grenoble",28g,185,4,4,18
"Beurre d'amande",16g (1 c. à soupe),100,3,3,9
"Graines de citrouille",30g,170,9,5,14
"Graines de tournesol",30g,180,6,6,15
"Graines de chanvre",30g,170,10,1,14
"Graines de chia",30g,150,5,13,9
"Graines de lin",30g,160,6,2,12
"Avocat",100g,160,2,9,15
"Coconut",30g,100,1,1,9
"Huile de coco",15mL,120,0,0,14
"Huile d'olive",15mL,120,0,0,14
"Huile d'avocat",15mL,120,0,0,14
"Huile de pépin de raisin",15mL,120,0,0,14
"Huile de macadamia",15mL,120,0,0,14
"Huile de cameline",15mL,120,0,0,14
"Huile de lin",15mL,120,0,0,14
"Ghee",15g,120,0,0,14
"Jaune d'œuf",1 (17g),55,3,0,5
"Olives",10 (30g),40,0.3,2,4
"Chocolat noir 85%",20g,120,3,7,10
"Mass Gainer",100g,400,20,75,3
