Aliment,kcal_per_100g,protein_g_per_100g,carb_g_per_100g,fat_g_per_100g,fiber_g_per_100g
Poitrine de poulet,127.0,26.0,0.0,1.2,0.0
Cuisse de poulet,120.0,20.1,0.0,3.8,0.0
Poitrine de dinde,132.0,29.0,0.0,1.4,0.0
Dinde hachée maigre,121.0,19.0,0.0,5.0,0.0
Cheval,133.0,21.0,0.0,5.0,0.0
Porc,242.0,27.0,0.0,14.0,0.0
Bavette de bœuf,192.0,28.0,0.0,8.0,0.0
Bœuf extra maigre,180.0,21.0,0.0,10.0,0.0
Morue,99.0,22.8,0.0,0.9,0.0
Thon (Clover Leaf),100.0,25.0,0.0,0.8,0.0
Saumon,196.0,22.0,0.0,12.0,0.0
Crevettes,106.0,20.3,0.9,1.7,0.0
Crabe,87.0,18.1,0.0,1.1,0.0
Jerky,243.0,46.6,6.6,3.3,0.0
Blanc d'œuf,48.0,11.0,1.0,0.0,0.0
Œuf,150.0,10.5,0.7,10.0,0.0
Tofu,102.0,10.0,2.0,6.0,0.0
Tempeh,201.6,19.0,9.0,10.0,0.0
Seitan,113.0,22.0,4.0,1.0,0.0
Yogourt grec 0%,57.0,10.3,3.4,0.0,0.0
Fromage cottage 1%,72.0,12.0,3.0,1.0,0.0
Fromage Allegro 9%,233.0,33.3,3.3,8.3,0.0
Whey ATP,400.0,80.0,16.7,6.7,0.0
Iso Believe,367.0,90.0,3.3,0.0,0.0
Supreme Beef Protein,400.0,80.0,10.0,3.3,0.0
Vegan Protein - Believe,383.3,76.7,6.7,3.3,0.0
EAA / BCAA,0.0,0.0,0.0,0.0,0.0
Gruau (cru),375.0,12.5,67.5,7.5,0.0
Riz blanc basmati,133.3,3.3,30.0,0.3,0.0
Quinoa,120.0,4.0,23.3,2.0,0.0
Patate douce,90.0,2.0,20.7,0.0,0.0
Patate blanche,70.0,1.7,15.7,0.1,0.0
Couscous,117.3,4.0,24.0,0.2,0.0
Courge spaghetti,31.0,0.6,7.0,0.3,0.0
Courge Butternut,45.3,1.0,12.0,0.1,0.0
Pois chiches,164.0,8.7,20.0,2.7,0.0
Lentilles,126.7,10.0,16.0,0.7,0.0
Granola Nature Path's,455.0,10.0,70.0,17.5,0.0
Nouilles de Konjac,17.0,0.5,3.3,0.2,0.0
Wrap blé entier,240.0,10.0,44.0,4.0,0.0
Pain Carbonaut,177.8,17.8,31.1,8.9,0.0
Pâtes sans gluten (crues),362.5,7.5,77.5,2.5,0.0
Galette de riz,388.9,7.8,81.1,3.3,0.0
Crispy Minis,475.0,6.5,75.0,15.0,0.0
Bagel sans gluten,277.8,8.9,55.6,3.3,0.0
Muffin anglais sans gluten,250.0,6.7,46.7,3.3,0.0
Pain sans gluten,300.0,7.5,55.0,5.0,0.0
Rice crispy,433.3,6.7,86.7,3.3,0.0
Chex,400.0,6.7,76.7,3.3,0.0
Gaufre sans gluten,266.7,6.7,46.7,8.3,0.0
Crème de riz,375.0,10.0,85.0,0.0,0.0
Jus de fruits,48.0,0.4,11.2,0.0,0.0
Navet,28.0,0.9,6.5,0.0,0.0
Carotte,41.0,1.0,9.8,0.0,0.0
Betterave,43.0,1.4,7.1,0.4,0.0
Pomme,57.1,0.3,15.0,0.1,0.0
Banane,87.5,1.1,22.5,0.3,0.0
Raisin,70.0,0.6,18.0,0.3,0.0
Kiwi,60.9,1.2,14.5,0.4,0.0
Mangue,60.0,1.0,15.0,0.2,0.0
Orange,46.2,0.8,11.5,0.2,0.0
Ananas,50.0,0.5,13.0,0.1,0.0
Dattes,283.3,3.3,73.3,0.0,0.0
Purée de pommes sans sucre,48.0,0.2,12.0,0.0,0.0
Petits fruits,50.0,1.0,12.0,0.3,0.0
Believe Fuel (carbs),366.7,0.0,93.3,0.0,0.0
Amandes,571.4,21.4,21.4,50.0,0.0
Noix de macadamia,714.3,7.1,14.3,75.0,0.0
Noix du Brésil,678.6,14.3,10.7,67.9,0.0
Noix de Grenoble,660.7,14.3,14.3,64.3,0.0
Beurre d'amande,625.0,18.8,18.8,56.3,0.0
Graines de citrouille,566.7,30.0,16.7,46.7,0.0
Graines de tournesol,600.0,20.0,20.0,50.0,0.0
Graines de chanvre,566.7,33.3,3.3,46.7,0.0
Graines de chia,500.0,16.7,43.3,30.0,0.0
Graines de lin,533.3,20.0,6.7,40.0,0.0
Avocat,160.0,2.0,9.0,15.0,0.0
Coconut,333.3,3.3,3.3,30.0,0.0
Huile de coco,800.0,0.0,0.0,93.3,0.0
Huile d'olive,800.0,0.0,0.0,93.3,0.0
Huile d'avocat,800.0,0.0,0.0,93.3,0.0
Huile de pépin de raisin,800.0,0.0,0.0,93.3,0.0
Huile de macadamia,800.0,0.0,0.0,93.3,0.0
Huile de cameline,800.0,0.0,0.0,93.3,0.0
Huile de lin,800.0,0.0,0.0,93.3,0.0
Ghee,800.0,0.0,0.0,93.3,0.0
Jaune d'œuf,323.5,17.6,0.0,29.4,0.0
Olives,133.3,1.0,6.7,13.3,0.0
Chocolat noir 85%,600.0,15.0,35.0,50.0,0.0
Mass Gainer,400.0,20.0,75.0,3.0,0.0
